,job,company,location,salary,description
28509,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
28510,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
28511,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
28512,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
28513,Senior Data Scientist in LifeSciences,        Bayer,"Salinas, CA",,
28514,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
28515,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
28516,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
28517,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
28518,Data Scientist,    xometry,"Durham, NC",,
28519,Data Scientist,        Novetta,"Crystal City, VA",,
28520,Senior Data Scientist,    IAC Publishing Labs,"Oakland, CA",,
28521,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
28522,"Principle Scientist, Data Science, System integration",    MatchPointe Group,"Santa Clara, CA",,
28523,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
28524,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
28525,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
28526,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
28527,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
28528,Senior Data Scientist in LifeSciences,        Bayer,"Salinas, CA",,
28529,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
28530,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
28531,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
28532,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
28533,Data Scientist,    xometry,"Durham, NC",,
28534,Data Scientist,        Novetta,"Crystal City, VA",,
28535,Senior Data Scientist,    IAC Publishing Labs,"Oakland, CA",,
28536,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
28537,"Principle Scientist, Data Science, System integration",    MatchPointe Group,"Santa Clara, CA",,
28538,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
28539,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
28540,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
28541,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
28542,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
28543,Senior Data Scientist in LifeSciences,        Bayer,"Salinas, CA",,
28544,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
28545,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
28546,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
28547,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
28548,Data Scientist,    xometry,"Durham, NC",,
28549,Data Scientist,        Novetta,"Crystal City, VA",,
28550,Senior Data Scientist,    IAC Publishing Labs,"Oakland, CA",,
28551,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
28552,"Principle Scientist, Data Science, System integration",    MatchPointe Group,"Santa Clara, CA",,
28553,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
28554,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
28555,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
28556,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
28557,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
28558,Senior Data Scientist in LifeSciences,        Bayer,"Salinas, CA",,
28559,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
28560,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
28561,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
28562,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
28563,Data Scientist,    xometry,"Durham, NC",,
28564,Data Scientist,        Novetta,"Crystal City, VA",,
28565,Senior Data Scientist,    IAC Publishing Labs,"Oakland, CA",,
28566,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
