,job,company,location,salary,description
8255,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
8256,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
8257,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
8258,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
8259,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
8260,Senior Data Scientist,    NIT Finance,"New York, NY",,
8261,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
8262,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
8263,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
8264,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
8265,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
8266,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
8267,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
8268,Data Scientist,    xometry,"Durham, NC",,
8269,Data Scientist,        Novetta,"Crystal City, VA",,
8270,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
8271,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
8272,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
8273,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
8274,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
8275,Senior Data Scientist,    NIT Finance,"New York, NY",,
8276,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
8277,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
8278,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
8279,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
8280,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
8281,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
8282,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
8283,Data Scientist,    xometry,"Durham, NC",,
8284,Data Scientist,        Novetta,"Crystal City, VA",,
8285,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
8286,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
8287,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
8288,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
8289,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
8290,Senior Data Scientist,    NIT Finance,"New York, NY",,
8291,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
8292,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
8293,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
8294,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
8295,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
8296,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
8297,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
8298,Data Scientist,    xometry,"Durham, NC",,
8299,Data Scientist,        Novetta,"Crystal City, VA",,
8300,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
8301,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
8302,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
8303,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
8304,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
8305,Senior Data Scientist,    NIT Finance,"New York, NY",,
8306,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
8307,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
8308,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
8309,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
8310,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
8311,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
8312,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
8313,Data Scientist,    xometry,"Durham, NC",,
8314,Data Scientist,        Novetta,"Crystal City, VA",,
8315,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
8316,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
8317,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
8318,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
8319,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
8320,Senior Data Scientist,    NIT Finance,"New York, NY",,
8321,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
8322,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
8323,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
8324,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
8325,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
8326,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
8327,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
8328,Data Scientist,    xometry,"Durham, NC",,
8329,Data Scientist,        Novetta,"Crystal City, VA",,
8330,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
8331,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
8332,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
8333,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
8334,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
8335,Senior Data Scientist,    NIT Finance,"New York, NY",,
8336,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
8337,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
8338,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
8339,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
8340,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
8341,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
8342,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
8343,Data Scientist,    xometry,"Durham, NC",,
8344,Data Scientist,        Novetta,"Crystal City, VA",,
8345,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
8346,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
8347,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
8348,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
8349,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
8350,Senior Data Scientist,    NIT Finance,"New York, NY",,
8351,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
8352,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
8353,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
8354,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
8355,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
8356,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
8357,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
8358,Data Scientist,    xometry,"Durham, NC",,
8359,Data Scientist,        Novetta,"Crystal City, VA",,
8360,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
8361,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
8362,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
8363,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
8364,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
8365,Senior Data Scientist,    NIT Finance,"New York, NY",,
8366,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
8367,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
8368,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
8369,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
8370,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
8371,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
8372,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
8373,Data Scientist,    xometry,"Durham, NC",,
8374,Data Scientist,        Novetta,"Crystal City, VA",,
8375,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
8376,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
8377,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
8378,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
8379,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
8380,Senior Data Scientist,    NIT Finance,"New York, NY",,
8381,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
8382,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
8383,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
8384,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
8385,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
8386,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
8387,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
8388,Data Scientist,    xometry,"Durham, NC",,
8389,Data Scientist,        Novetta,"Crystal City, VA",,
8390,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
8391,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
8392,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
8393,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
8394,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
8395,Senior Data Scientist,    NIT Finance,"New York, NY",,
8396,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
8397,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
8398,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
8399,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
8400,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
8401,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
8402,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
8403,Data Scientist,    xometry,"Durham, NC",,
8404,Data Scientist,        Novetta,"Crystal City, VA",,
8405,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
8406,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
8407,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
8408,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
8409,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
8410,Senior Data Scientist,    NIT Finance,"New York, NY",,
8411,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
8412,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
8413,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
8414,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
8415,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
8416,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
8417,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
8418,Data Scientist,    xometry,"Durham, NC",,
8419,Data Scientist,        Novetta,"Crystal City, VA",,
8420,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
8421,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
8422,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
8423,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
8424,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
8425,Senior Data Scientist,    NIT Finance,"New York, NY",,
8426,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
8427,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
8428,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
8429,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
8430,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
8431,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
8432,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
8433,Data Scientist,    xometry,"Durham, NC",,
8434,Data Scientist,        Novetta,"Crystal City, VA",,
8435,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
8436,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
8437,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
8438,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
8439,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
8440,Senior Data Scientist,    NIT Finance,"New York, NY",,
8441,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
8442,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
8443,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
8444,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
8445,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
8446,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
8447,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
8448,Data Scientist,    xometry,"Durham, NC",,
8449,Data Scientist,        Novetta,"Crystal City, VA",,
8450,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
8451,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
8452,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
8453,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
8454,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
8455,Senior Data Scientist,    NIT Finance,"New York, NY",,
8456,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
8457,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
8458,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
8459,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
8460,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
8461,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
8462,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
8463,Data Scientist,    xometry,"Durham, NC",,
8464,Data Scientist,        Novetta,"Crystal City, VA",,
8465,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
8466,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
8467,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
8468,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
8469,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
8470,Senior Data Scientist,    NIT Finance,"New York, NY",,
8471,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
8472,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
8473,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
8474,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
8475,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
8476,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
8477,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
8478,Data Scientist,    xometry,"Durham, NC",,
8479,Data Scientist,        Novetta,"Crystal City, VA",,
8480,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
8481,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
8482,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
8483,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
8484,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
8485,Senior Data Scientist,    NIT Finance,"New York, NY",,
8486,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
8487,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
8488,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
8489,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
8490,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
8491,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
8492,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
8493,Data Scientist,    xometry,"Durham, NC",,
8494,Data Scientist,        Novetta,"Crystal City, VA",,
8495,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
8496,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
8497,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
8498,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
8499,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
8500,Senior Data Scientist,    NIT Finance,"New York, NY",,
8501,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
8502,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
8503,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
8504,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
8505,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
8506,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
8507,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
8508,Data Scientist,    xometry,"Durham, NC",,
8509,Data Scientist,        Novetta,"Crystal City, VA",,
8510,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
8511,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
8512,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
8513,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
8514,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
8515,Senior Data Scientist,    NIT Finance,"New York, NY",,
8516,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
8517,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
8518,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
8519,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
8520,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
8521,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
8522,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
8523,Data Scientist,    xometry,"Durham, NC",,
8524,Data Scientist,        Novetta,"Crystal City, VA",,
8525,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
8526,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
8527,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
8528,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
8529,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
8530,Senior Data Scientist,    NIT Finance,"New York, NY",,
8531,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
8532,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
8533,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
8534,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
8535,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
8536,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
8537,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
8538,Data Scientist,    xometry,"Durham, NC",,
8539,Data Scientist,        Novetta,"Crystal City, VA",,
8540,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
8541,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
8542,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
8543,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
8544,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
8545,Senior Data Scientist,    NIT Finance,"New York, NY",,
8546,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
8547,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
8548,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
8549,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
8550,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
8551,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
8552,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
8553,Data Scientist,    xometry,"Durham, NC",,
8554,Data Scientist,        Novetta,"Crystal City, VA",,
8555,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
8556,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
8557,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
8558,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
8559,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
8560,Senior Data Scientist,    NIT Finance,"New York, NY",,
8561,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
8562,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
8563,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
8564,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
8565,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
8566,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
8567,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
8568,Data Scientist,    xometry,"Durham, NC",,
8569,Data Scientist,        Novetta,"Crystal City, VA",,
8570,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
8571,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
8572,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
8573,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
8574,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
8575,Senior Data Scientist,    NIT Finance,"New York, NY",,
8576,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
8577,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
8578,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
8579,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
8580,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
8581,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
8582,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
8583,Data Scientist,    xometry,"Durham, NC",,
8584,Data Scientist,        Novetta,"Crystal City, VA",,
8585,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
8586,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
8587,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
8588,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
8589,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
8590,Senior Data Scientist,    NIT Finance,"New York, NY",,
8591,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
8592,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
8593,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
8594,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
8595,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
8596,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
8597,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
8598,Data Scientist,    xometry,"Durham, NC",,
8599,Data Scientist,        Novetta,"Crystal City, VA",,
8600,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
8601,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
8602,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
8603,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
8604,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
8605,Senior Data Scientist,    NIT Finance,"New York, NY",,
8606,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
8607,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
8608,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
8609,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
8610,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
8611,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
8612,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
8613,Data Scientist,    xometry,"Durham, NC",,
8614,Data Scientist,        Novetta,"Crystal City, VA",,
8615,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
8616,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
8617,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
8618,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
8619,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
8620,Senior Data Scientist,    NIT Finance,"New York, NY",,
8621,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
8622,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
8623,Data Scientist - Machine Learning,        SAP,"Palo Alto, CA",,
8624,Data Scientist - Big Data & Analytics,        KPMG,"New York, NY 10154",,
8625,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
8626,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
8627,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
8628,Data Scientist,    xometry,"Durham, NC",,
8629,Data Scientist,        Novetta,"Crystal City, VA",,
